Month-Year,Month,Year,No.Of.Banks.Using.Upi,Volume.Of.Transaction.in.Mn,Amount.Of.Transaction
Feb-20,Feb,2020,146,1323.28,"2,21,995.42"
Jan-20,Jan,2020,144,1305.02,"2,16,242.97"
Dec-19,Dec,2019,143,1308.4,"2,02,520.76"
Nov-19,Nov,2019,143,1218.77,"1,89,229.09"
Oct-19,Oct,2019,141,1148.36,"1,91,359.94"
Sept-19,Sept,2019,141,955.02,"1,61,456.56"
Aug-19,Aug,2019,141,918.35,"1,54,504.89"
July-19,July,2019,143,822.29,"1,46,386.64"
June-19,June,2019,142,754.54,"1,46,566.35"
May-19,May,2019,143,733.54,"1,52,449.29"
Apr-19,Apr,2019,144,781.79,"1,42,034.39"
Mar-19,Mar,2019,142,799.54,"1,33,460.72"
Feb-19,Feb,2019,139,674.19,"1,06,737.12"
Jan-19,Jan,2019,134,672.75,"1,09,932.43"
Dec-18,Dec,2018,129,620.17,"1,02,594.82"
Nov-18,Nov,2018,128,524.94,82232.21
Oct-18,Oct,2018,128,482.36,74978.27
Sep-18,Sept,2018,122,405.87,59835.36
Aug-18,Aug,2018,114,312.02,54212.26
July-18,July,2018,114,273.75,51843.14
June-18,June,2018,110,246.37,40834.03
May-18,May,2018,101,189.48,33288.51
Apr-18,Apr,2018,97,190.08,27021.85
Mar-18,Mar,2018,91,178.05,24172.6
Feb-18,Feb,2018,86,171.4,19126.2
Jan-18,Jan,2018,71,151.833,15571.2
Dec-17,Dec,2017,67,145.463,13144.3
Nov-17,Nov,2017,61,104.841,9640.6
Oct-17,Oct,2017,60,76.772,7057.8
Sep-17,Sept,2017,57,30.778,5293.4
Aug-17,Aug,2017,55,16.608,4127.2
July-17,July,2017,53,11.444,3381.2
June-17,June,2017,52,10.155,3067.1
May-17,May,2017,49,9.168,2765.4
Apr-17,Apr,2017,48,7.005,2240.8
Mar-17,Mar,2017,44,6.161,2391.4
Feb-17,Feb,2017,44,4.156,1902.1
Jan-17,Jan,2017,36,4.153,1658.8
Dec-16,Dec,2016,35,1.967,706.2
Nov-16,Nov,2016,30,0.285,100.5
Oct-16,Oct,2016,26,0.103,48.6
Sep-16,Sept,2016,25,0.085,32.6
Aug-16,Aug,2016,21,0.093,3.1
